,hps,fit,pred
decision_tree-ionosphere_data,0.70373497699984,0.0014455590026045684,0.00016330899961758405
adaboost-ionosphere_data,12.46162553799877,0.3337415730020439,0.02102846799971303
samba-ionosphere_data,19.036629460999393,1.035671949000971,0.023096226999768987
random_forest-ionosphere_data,18.260320495002816,0.4889353669968841,0.027252486997895176
random_scm-ionosphere_data,19.56878971900005,0.07629530200210866,0.004553476002911339
scm-ionosphere_data,0.8844997150008567,0.003607052996812854,0.00016101599976536818
