,adaboost-ionosphere_data,random_scm-ionosphere_data,scm-ionosphere_data,samba-ionosphere_data,random_forest-ionosphere_data,decision_tree-ionosphere_data
Train,1.0,0.9379012967392673,0.9420244240211506,0.9308510638297872,0.9893617021276595,1.0
Test,0.8504464285714286,0.8549107142857143,0.8683035714285714,0.875,0.8973214285714286,0.9107142857142857
