,scm-clinic,random_scm-clinic,decision_tree-clinic,adaboost-clinic,samba-clinic,random_forest-clinic,scm-mirna,scm-methyl,random_scm-mirna,decision_tree-mirna,decision_tree-methyl,random_scm-methyl,scm-rna,scm-rna_iso,decision_tree-rna_iso,decision_tree-rna,samba-methyl,random_forest-mirna,samba-mirna,adaboost-mirna,adaboost-methyl,random_scm-rna,random_scm-rna_iso,random_forest-methyl,adaboost-rna_iso,samba-rna_iso,samba-rna,random_forest-rna_iso,random_forest-rna,adaboost-rna
Train,0.6187869822485206,0.6548816568047335,0.9893491124260356,0.9353550295857989,0.8606508875739646,0.8834319526627219,0.9202662721893491,0.9505917159763314,0.9536982248520711,1.0,0.9934911242603551,0.9618343195266272,0.9773668639053253,0.9766272189349113,0.9991124260355029,1.0,0.9940828402366865,0.9983727810650886,0.9826923076923076,1.0,1.0,0.9897928994082837,0.985207100591716,1.0,1.0,0.9920118343195267,0.9912721893491124,0.9977810650887573,0.9979289940828402,1.0
Train STD,0.2090358124924534,0.17783630893257651,0.0012896150720534084,0.05253895602116037,0.042084693884269324,0.013983789701889272,0.024039713212747442,0.018655482568561484,0.014764025074460065,0.0,0.013816916483829132,0.0158055744250806,0.014630020460922832,0.008870807308026595,0.002662721893491134,0.0,0.007366804495851338,0.002033687438589877,0.00397210697695195,0.0,0.0,0.003882959984735702,0.005374527255794365,0.0,0.0,0.0066551608752674855,0.006115392487749774,0.0028261794636897405,0.002662721893491122,0.0
Test,0.5778761061946902,0.6176991150442478,0.7491150442477876,0.7977876106194689,0.8048672566371682,0.8349557522123894,0.8907079646017699,0.9278761061946902,0.935840707964602,0.942920353982301,0.9442477876106196,0.9513274336283185,0.9597345132743363,0.9601769911504426,0.9632743362831858,0.9690265486725662,0.9699115044247787,0.9703539823008848,0.9730088495575219,0.9769911504424778,0.9783185840707965,0.9792035398230088,0.9796460176991151,0.9796460176991151,0.9805309734513272,0.9805309734513272,0.9809734513274335,0.9831858407079646,0.9840707964601767,0.9845132743362832
Test STD,0.21247417186511364,0.17527039625110827,0.018568261290581683,0.017369722501230613,0.030684492827585483,0.008170878456911224,0.019693993879883076,0.023667396673126277,0.0190059571636412,0.010554743753873072,0.008206742031412128,0.014541306836420308,0.022251842408283453,0.00989410609513178,0.012831858407079616,0.009281494231594242,0.009448741815956917,0.008407079646017683,0.009784665658184064,0.0090248132983943,0.008499722439070162,0.005254133666830944,0.00820674203141209,0.004512406649197161,0.007189414517376961,0.00530973451327436,0.007676704235795354,0.005870132372310468,0.0056664816260468,0.005683731229497843
