,random_forest-clinic,samba-clinic,scm-clinic,adaboost-clinic,random_scm-clinic,decision_tree-clinic,scm-mirna,decision_tree-mirna,decision_tree-methyl,random_forest-mirna,decision_tree-rna_iso,scm-methyl,random_scm-mirna,samba-mirna,scm-rna_iso,samba-methyl,scm-rna,decision_tree-rna,adaboost-mirna,random_forest-methyl,adaboost-methyl,random_scm-methyl,adaboost-rna_iso,samba-rna,random_forest-rna_iso,random_scm-rna_iso,random_scm-rna,random_forest-rna,samba-rna_iso,adaboost-rna
Train,0.6392731744413702,0.6171706875070789,0.5830388492468004,0.8199205540184134,0.5975154927754316,0.970307266637542,0.9369067844603013,1.0,0.9916735433555006,0.9953246606151804,0.9987298351212723,0.9686940763393361,0.9601710272964097,0.9600399656974581,0.9797679724285228,0.991655744866754,0.9794678251864795,1.0,1.0,1.0,1.0,0.9739138876753556,1.0,0.9855338737601734,0.9934897982298594,0.9793246282542919,0.9905805543420222,0.9939485138261895,0.9874569195670114,1.0
Train STD,0.04376235639044407,0.11551274379617799,0.044709350740009056,0.1435279932543946,0.04474758119629608,0.005969670498470502,0.009804906051557156,0.0,0.01772630032202012,0.005580934602582582,0.003810494636182729,0.010530972417461301,0.008938948260391323,0.009002251648918753,0.010404647729735017,0.011857785489030903,0.011138398244835519,0.0,0.0,0.0,0.0,0.007701230480827462,0.0,0.010235582977221939,0.00813271935404651,0.005617536155443644,0.00699181698774948,0.007561346863201161,0.011190076517731417,0.0
Test,0.5133347633347632,0.515994565994566,0.5215644215644215,0.5443657943657942,0.5464607464607465,0.5587373087373088,0.8868368368368369,0.8984913484913484,0.9003718003718003,0.9257614757614757,0.9269626769626769,0.9297082797082797,0.9388173888173889,0.9414771914771916,0.9435864435864435,0.9439725439725439,0.9476690976690978,0.9477906477906479,0.9503789503789506,0.9530530530530529,0.9555198055198056,0.9567710567710568,0.96010296010296,0.9625411125411126,0.9627770627770627,0.962834262834263,0.9636565136565135,0.9643929643929644,0.9644501644501645,0.9646575146575147
Test STD,0.018949279386365047,0.025729378964983236,0.0379518338426741,0.01759652204236299,0.042788151905756085,0.022475720793292613,0.017870585751112136,0.018634077797944914,0.027344252375143253,0.025975062774314852,0.029046128535776036,0.023872190704141663,0.01582679722013491,0.0159858314596351,0.017845621473686287,0.014846872343999501,0.016416405517011585,0.016967881408051815,0.022247439985236008,0.01375291190348368,0.013062280334943988,0.01048188121853887,0.014018463822204624,0.013946563191896256,0.013070525977064873,0.014828873505791314,0.007847897486042232,0.011710873585646066,0.01139060545588584,0.012520601662990306
