,fit,hps,pred
decision_tree-methyl,0.47783972670113145,10.827467060799972,0.0012726882985589327
adaboost-methyl,23.61056786249901,301.415794199401,0.10185776989892474
samba-methyl,13.30794365780057,303.2826138855995,0.13551573179938714
random_forest-methyl,2.609396770100284,48.40349416070021,0.02415369339978497
random_scm-methyl,1.9020438118979655,176.4267780874994,0.03834803840072709
scm-methyl,0.27223969509832385,4.74884856370154,0.0004930405004415662
decision_tree-rna_iso,0.6622961328987003,10.146505882000564,0.0012710678984149126
adaboost-rna_iso,22.798252526501166,247.55066177599946,0.11377802329989209
samba-rna_iso,12.081576322999535,330.84556814009954,0.12998235460036084
random_forest-rna_iso,2.5288870689004397,47.069183814901045,0.02246300059996429
random_scm-rna_iso,6.217498668698681,177.3628128418997,0.1350449176996335
scm-rna_iso,0.2410240514007455,4.8938411141003595,0.00047928530002536716
decision_tree-rna,0.7690212941000937,9.497351678100676,0.0012786172999767586
adaboost-rna,29.571824639900296,247.1653447416993,0.1494970216001093
samba-rna,24.902075969600265,372.8595368529994,0.16131778659837437
random_forest-rna,2.9652053522000643,44.85340103900016,0.02668909700041695
random_scm-rna,10.46499463010041,175.46988564779932,0.10718919689970789
scm-rna,0.2459342755992111,5.006074384299427,0.0004886951996013522
decision_tree-mirna,0.16422288159956225,2.1547485542996583,0.00030752880084037313
adaboost-mirna,3.7408179163994646,58.73691983110039,0.037302307899517474
samba-mirna,8.140488500700304,114.1976779862005,0.09149962709961983
random_forest-mirna,1.0067566808000266,26.048473626501437,0.01783455299846537
random_scm-mirna,2.0649827188004566,32.518340986000474,0.03644647670043923
scm-mirna,0.03284808249918569,1.1183013567006128,0.00017725300094753038
decision_tree-clinic,0.002451014400139684,0.39335497289976046,0.00020339720067568122
adaboost-clinic,0.193211511199479,5.331564489801167,0.02009975650034903
samba-clinic,4.409396443500737,77.46825748009942,0.08136242220061832
random_forest-clinic,0.29486327999984496,9.196962541299945,0.021842035901136113
random_scm-clinic,0.42303656629919717,9.932793110401326,0.020913496498178575
scm-clinic,0.0032735444012359947,0.5057294095997349,0.00015264629910234363
