,scm-yeast_data,samba-yeast_data,random_scm-yeast_data,decision_tree-yeast_data,adaboost-yeast_data,random_forest-yeast_data
Train,0.6368913702680943,0.6680630695028631,0.6883977547196786,0.7614333225483632,0.9237044867984439,0.8532347386400403
Test,0.6321670047329276,0.6533637592968222,0.6874915483434754,0.6895706558485464,0.6966362407031779,0.712339418526031
