,scm-yeast_data,samba-yeast_data,random_scm-yeast_data,decision_tree-yeast_data,adaboost-yeast_data,random_forest-yeast_data
Train,0.5121293800539084,0.5615453728661276,0.6253369272237197,0.7996406109613656,0.9362084456424079,0.8912848158131177
Test,0.5040431266846361,0.5525606469002695,0.6091644204851752,0.7250673854447439,0.7412398921832885,0.7789757412398922
