,decision_tree-australian,adaboost-australian,samba-australian,random_forest-australian,random_scm-australian,scm-australian
Train,0.8684719535783365,0.8839458413926499,0.874274661508704,0.97678916827853,0.851063829787234,0.851063829787234
Test,0.8728323699421965,0.8728323699421965,0.8728323699421965,0.8786127167630058,0.884393063583815,0.884393063583815
