,decision_tree-australian,adaboost-australian,samba-australian,random_forest-australian,random_scm-australian,scm-australian
Train,0.8633994849265263,0.881222542039085,0.8686259657627633,0.9743447962429935,0.8598091198303288,0.8598091198303288
Test,0.8687094155844156,0.872564935064935,0.8738501082251082,0.8790584415584415,0.8919778138528138,0.8919778138528138
