,decision_tree-pima,samba-pima,scm-pima,adaboost-pima,random_forest-pima,random_scm-pima
Train,1.0,0.7220696517412935,0.7052537313432836,0.8173134328358209,0.9240398009950248,0.7292338308457711
Test,0.6060298507462687,0.7408955223880597,0.7467462686567164,0.7718208955223881,0.7728955223880597,0.7765970149253731
