,decision_tree-pima,scm-pima,samba-pima,random_scm-pima,adaboost-pima,random_forest-pima
Train,1.0,0.7274305555555556,0.7673611111111112,0.7361111111111112,0.8402777777777778,0.9461805555555556
Test,0.671875,0.7604166666666666,0.7708333333333334,0.78125,0.8020833333333334,0.8125
