,decision_tree-pima,scm-pima,adaboost-pima,random_scm-pima,random_forest-pima,samba-pima
Train,1.0,0.7534722222222221,0.9027777777777778,0.763888888888889,0.8923611111111112,0.7986111111111112
Test,0.6770833333333334,0.6770833333333334,0.6875,0.6979166666666666,0.7395833333333334,0.7447916666666666
