,decision_tree-pima,adaboost-pima,scm-pima,random_scm-pima,samba-pima,random_forest-pima
Train,1.0,0.8814726368159204,0.7575721393034827,0.760955223880597,0.7541492537313432,0.8619303482587064
Test,0.637731343283582,0.6561194029850747,0.6654328358208955,0.6814328358208955,0.6862686567164179,0.6926567164179105
