,samba-cylinder_data,scm-cylinder_data,decision_tree-cylinder_data,random_scm-cylinder_data,random_forest-cylinder_data,adaboost-cylinder_data
Train,1.0,0.7777777777777778,1.0,0.7753086419753087,0.9827160493827161,1.0
Test,0.674074074074074,0.7037037037037037,0.7185185185185186,0.7481481481481481,0.7777777777777778,0.7925925925925926
