,samba-cylinder_data,scm-cylinder_data,decision_tree-cylinder_data,random_scm-cylinder_data,random_forest-cylinder_data,adaboost-cylinder_data
Train,1.0,0.7604588394062078,1.0,0.7402159244264508,0.97953216374269,1.0
Test,0.6541835357624831,0.6751012145748987,0.7162618083670715,0.7182860998650472,0.7510121457489879,0.7732793522267207
