,decision_tree,adaboost,samba,random_forest,random_scm,scm
metabolomics_bleuets-ID_6386,0.0,0.0,0.0,0.004924704924704922,0.0,0.0
metabolomics_bleuets-ID_3092,0.0,0.0,0.0,0.004897571564238231,0.0,0.0
metabolomics_bleuets-ID_12869,0.0,0.0,0.0,0.004884004884004881,0.0,0.0
metabolomics_bleuets-ID_2914,0.0,0.0,0.0,0.004883448973778605,0.0,0.0
metabolomics_bleuets-ID_13869,0.0,0.0,0.0,0.004832347140039444,0.0,0.0
metabolomics_bleuets-ID_3511,0.0,0.0,0.0,0.004814233385661956,0.0,0.0
metabolomics_bleuets-ID_15021,0.0,0.0,0.0,0.004807692307692307,0.0,0.0
metabolomics_bleuets-ID_8074,0.0,0.0,0.0,0.004783773440489859,0.0,0.0
metabolomics_bleuets-ID_7062,0.0,0.0,0.0,0.004753836556122687,0.0,0.0
metabolomics_bleuets-ID_2291,0.0,0.0,0.0,0.0009686207244475822,0.0037734058134314416,0.0
metabolomics_bleuets-ID_5376,0.0,0.0,0.0,0.0047393632009016615,0.0,0.0
metabolomics_bleuets-ID_5673,0.0,0.0,0.0,0.004688415033242621,0.0,0.0
metabolomics_bleuets-ID_2909,0.0,0.0,0.0,0.0046831955922865005,0.0,0.0
metabolomics_bleuets-ID_2772,0.0,0.0,0.0,0.004675716440422318,0.0,0.0
metabolomics_bleuets-ID_3690,0.0,0.0,0.0,0.004647188923096081,0.0,0.0
metabolomics_bleuets-ID_5151,0.0,0.0,0.0,0.001061007957559683,0.0035828297622480356,0.0
metabolomics_bleuets-ID_3497,0.0,0.0,0.0,0.004604886054411506,0.0,0.0
metabolomics_bleuets-ID_3601,0.0,0.0,0.0,0.004509525906021751,0.0,0.0
metabolomics_bleuets-ID_8303,0.0,0.0,0.0,0.004470310391363023,0.0,0.0
metabolomics_bleuets-ID_8114,0.0,0.0,0.0,0.004459308807134892,0.0,0.0
metabolomics_bleuets-ID_1342,0.0,0.0,0.0,0.004456586026994852,0.0,0.0
metabolomics_bleuets-ID_1158,0.0,0.0,0.0,0.004451429645079465,0.0,0.0
metabolomics_bleuets-ID_5652,0.0,0.0,0.0,0.00443717202337892,0.0,0.0
metabolomics_bleuets-ID_2832,0.0,0.0,0.0,0.0044363969363969335,0.0,0.0
metabolomics_bleuets-ID_15220,0.0,0.0,0.0,0.004428904428904429,0.0,0.0
metabolomics_bleuets-ID_8208,0.0,0.0,0.0,0.004428904428904429,0.0,0.0
metabolomics_bleuets-ID_1104,0.0,0.0,0.0,0.004373735717019296,0.0,0.0
metabolomics_bleuets-ID_2784,0.0,0.0,0.0,0.0043032108573320075,0.0,0.0
metabolomics_bleuets-ID_14795,0.0,0.0,0.0,0.004183020619006777,0.0,0.0
metabolomics_bleuets-ID_7394,0.0,0.0,0.0,0.004182092417386533,0.0,0.0
metabolomics_bleuets-ID_5401,0.0,0.0,0.0,0.004182092417386533,0.0,0.0
metabolomics_bleuets-ID_5623,0.0,0.0,0.0,0.004171732074264324,0.0,0.0
metabolomics_bleuets-ID_16453,0.0,0.0,0.0,0.004152748616148117,0.0,0.0
metabolomics_bleuets-ID_4843,0.0,0.0,0.0,0.004132326007326005,0.0,0.0
metabolomics_bleuets-ID_4723,0.0,0.0,0.0,0.00412087912087912,0.0,0.0
metabolomics_bleuets-ID_7945,0.0,0.0,0.0,0.004112659818167113,0.0,0.0
metabolomics_bleuets-ID_1,0.0,0.0,0.0,0.004091019123698862,0.0,0.0
metabolomics_bleuets-ID_13026,0.0,0.0,0.0,0.004063527897071404,0.0,0.0
metabolomics_bleuets-ID_6042,0.0,0.0,0.0,0.004052913031241203,0.0,0.0
metabolomics_bleuets-ID_11029,0.0,0.0,0.0,0.0040462802049041876,0.0,0.0
metabolomics_bleuets-ID_3167,0.0,0.0,0.0,0.004042504042504041,0.0,0.0
metabolomics_bleuets-ID_2898,0.0,0.0,0.0,0.0,0.003985394904073658,0.0
metabolomics_bleuets-ID_4400,0.0,0.0,0.0,0.003985280058648829,0.0,0.0
metabolomics_bleuets-ID_10637,0.0,0.0,0.0,0.003972557650152349,0.0,0.0
metabolomics_bleuets-ID_12550,0.0,0.0,0.0,0.003963697993548736,0.0,0.0
metabolomics_bleuets-ID_7955,0.0,0.0,0.0,0.003951923705010123,0.0,0.0
metabolomics_bleuets-ID_16397,0.0,0.0,0.0,0.0,0.003941112738472839,0.0
metabolomics_bleuets-ID_12556,0.0,0.0,0.0,0.0039235706867785155,0.0,0.0
metabolomics_bleuets-ID_5390,0.0,0.0,0.0,0.0038806510171362956,0.0,0.0
metabolomics_bleuets-ID_419,0.0,0.0,0.0,0.0038784744667097605,0.0,0.0
metabolomics_bleuets-ID_8521,0.0,0.0,0.0,0.0,0.0038139800694898447,0.0
metabolomics_bleuets-ID_1878,0.0,0.0,0.0,0.0,0.0038139800694898447,0.0
metabolomics_bleuets-ID_3989,0.0,0.0,0.0,0.0,0.0037734058134314416,0.0
metabolomics_bleuets-ID_6665,0.0,0.0,0.0,0.0,0.0037734058134314416,0.0
metabolomics_bleuets-ID_1699,0.0,0.0,0.0,0.0,0.0037734058134314416,0.0
metabolomics_bleuets-ID_3669,0.0,0.0,0.0,0.0,0.0037734058134314416,0.0
metabolomics_bleuets-ID_11046,0.0,0.0,0.0,0.0,0.0037734058134314416,0.0
metabolomics_bleuets-ID_305,0.0,0.0,0.0,0.0037343576754764575,0.0,0.0
metabolomics_bleuets-ID_5445,0.0,0.0,0.0,0.0,0.0037336857522374265,0.0
metabolomics_bleuets-ID_7850,0.0,0.0,0.0,0.0,0.0037336857522374265,0.0
metabolomics_bleuets-ID_12426,0.0,0.0,0.0,0.0037008363687129533,0.0,0.0
metabolomics_bleuets-ID_5056,0.0,0.0,0.0,0.0,0.0036947931923182863,0.0
metabolomics_bleuets-ID_10756,0.0,0.0,0.0,0.0,0.0036947931923182863,0.0
metabolomics_bleuets-ID_922,0.0,0.0,0.0,0.0,0.0036947931923182863,0.0
metabolomics_bleuets-ID_3492,0.0,0.0,0.0,0.0,0.0036947931923182863,0.0
metabolomics_bleuets-ID_8799,0.0,0.0,0.0,0.0,0.0036947931923182863,0.0
metabolomics_bleuets-ID_10404,0.0,0.0,0.0,0.0036668839634941336,0.0,0.0
metabolomics_bleuets-ID_14423,0.0,0.0,0.0,0.0,0.003656702540851088,0.0
metabolomics_bleuets-ID_14701,0.0,0.0,0.0,0.0,0.003656702540851088,0.0
