,decision_tree-pima,random_scm-pima,samba-pima,scm-pima,random_forest-pima,adaboost-pima
Train,0.9895833333333334,0.7118055555555557,0.7951388888888888,0.7604166666666666,0.9340277777777778,0.8107638888888888
Test,0.625,0.7135416666666666,0.7708333333333333,0.7708333333333333,0.7760416666666666,0.796875
