,decision_tree-pima,scm-pima,samba-pima,random_scm-pima,random_forest-pima,adaboost-pima
Train,0.992,0.7040398009950248,0.7434029850746269,0.7163383084577115,0.9170149253731343,0.7715621890547264
Test,0.6011940298507463,0.7201194029850746,0.7235820895522388,0.7280597014925374,0.7448955223880597,0.7608955223880597
