,adaboost-australian,random_scm-australian,scm-australian,decision_tree-australian,samba-australian,random_forest-australian
Train,1.0,0.8746250568095744,0.8720193910013634,0.8946977730646872,0.9804347826086957,0.9599909104681108
Test,0.8308982683982684,0.8321158008658008,0.8321158008658008,0.8426001082251082,0.8529491341991342,0.8816287878787878
