,random_scm-australian,scm-australian,adaboost-australian,decision_tree-australian,samba-australian,random_forest-australian
Train,0.8684719535783365,0.8665377176015474,1.0,0.8955512572533849,0.9825918762088974,0.9632495164410058
Test,0.8208092485549133,0.8208092485549133,0.8265895953757225,0.838150289017341,0.8439306358381503,0.8786127167630058
