,random_scm-yeast_data,scm-yeast_data,decision_tree-yeast_data,adaboost-yeast_data,samba-yeast_data,random_forest-yeast_data
Train,0.550763701707098,0.550763701707098,0.7268643306379156,0.8265947888589399,0.9991015274034142,0.8796046720575024
Test,0.5525606469002695,0.5633423180592992,0.7088948787061995,0.7412398921832885,0.7466307277628033,0.7547169811320754
