,random_scm-yeast_data,scm-yeast_data,samba-yeast_data,adaboost-yeast_data,random_forest-yeast_data,decision_tree-yeast_data
Train,0.644466557813711,0.6389492930828211,0.9985590778097982,0.785744652034221,0.828985485436528,0.7385121255671514
Test,0.6533637592968222,0.6565077755240027,0.6676639621365787,0.6731406355645706,0.6782454361054766,0.7271467207572684
