,random_forest-australian,adaboost-australian,scm-australian,decision_tree-australian,random_scm-australian,samba-australian
Train,0.9782608695652174,1.0,0.8733146492955612,0.9569383426753522,0.8759657627632177,0.8816391455840025
Test,0.8400297619047619,0.8491612554112553,0.8515963203463204,0.8530167748917749,0.854301948051948,0.8620806277056277
