,random_forest-australian,scm-australian,decision_tree-australian,adaboost-australian,random_scm-australian,samba-australian
Train,0.9806576402321083,0.8665377176015474,0.9593810444874274,1.0,0.874274661508704,0.8820116054158608
Test,0.838150289017341,0.838150289017341,0.8497109826589595,0.8497109826589595,0.8497109826589595,0.8554913294797688
