,random_forest-metabolomics_bleuets,decision_tree-metabolomics_bleuets,samba-metabolomics_bleuets,scm-metabolomics_bleuets,adaboost-metabolomics_bleuets,random_scm-metabolomics_bleuets
Train,0.9916666666666666,1.0,1.0,0.9472222222222222,1.0,0.9916666666666668
Train STD,0.01666666666666666,0.0,0.0,0.018425693279752242,0.0,0.0068041381743976816
Test,0.8083333333333333,0.875,0.875,0.8833333333333334,0.9083333333333334,0.9416666666666667
Test STD,0.05651941652604388,0.045643546458763826,0.02635231383473647,0.06666666666666668,0.016666666666666656,0.04999999999999999
