,random_forest-metabolomics_bleuets,decision_tree-metabolomics_bleuets,samba-metabolomics_bleuets,adaboost-metabolomics_bleuets,scm-metabolomics_bleuets,random_scm-metabolomics_bleuets
Train,0.9907407407407408,1.0,1.0,1.0,0.9462962962962962,0.9944444444444442
Train STD,0.0185185185185185,0.0,0.0,0.0,0.03434673516850259,0.00453609211626517
Test,0.6833333333333333,0.8055555555555556,0.8166666666666667,0.85,0.8666666666666668,0.9166666666666666
Test STD,0.11992796191623835,0.08425417160057284,0.07576767609436587,0.05443310539518174,0.07934920476158723,0.074535599249993
