,hps,fit,pred
decision_tree-ionosphere_data,1.3753128859971184,0.006394745003490243,0.0001634759973967448
adaboost-ionosphere_data,23.019588571005443,0.4350864610023564,0.026907629995548632
samba-ionosphere_data,36.24137733299722,0.03527765200124122,0.018409172000247054
random_forest-ionosphere_data,34.25450145100331,0.2784070800043992,0.01793996500055073
random_scm-ionosphere_data,37.03378975099622,0.420886548999988,0.02546583500225097
scm-ionosphere_data,1.6032462350049173,0.0017290469986619428,0.00013519899948732927
