,decision_tree-ionosphere_data,samba-ionosphere_data,scm-ionosphere_data,random_forest-ionosphere_data,adaboost-ionosphere_data,random_scm-ionosphere_data
Train,1.0,0.9695817490494297,0.9239543726235742,0.9619771863117871,1.0,0.9619771863117871
Test,0.8409090909090909,0.8522727272727273,0.875,0.8863636363636365,0.8977272727272727,0.8977272727272727
