,decision_tree-ionosphere_data,scm-ionosphere_data,samba-ionosphere_data,random_scm-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data
Train,0.9969581749049429,0.92319391634981,0.9262357414448669,0.9437262357414449,1.0,0.9923954372623573
Train STD,0.006083650190114083,0.008802917796798608,0.013730395502104795,0.012587791146195324,0.0,0.005377237879745617
Test,0.8931818181818182,0.8954545454545455,0.9,0.9113636363636364,0.9204545454545455,0.9363636363636363
Test STD,0.025511300364367776,0.030828772650569384,0.01670106642806709,0.028203803740888347,0.033709993123162106,0.027461468121805898
