,decision_tree-ionosphere_data,samba-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,0.9971610222837718,0.9109719249653784,0.9241848168198414,1.0,0.9415774896134963,0.9893617021276597
Train STD,0.005677955432456243,0.013442691860912173,0.013829522200233034,0.0,0.01111877016959323,0.007522412565814327
Test,0.8785714285714284,0.8799107142857142,0.89375,0.8973214285714286,0.9035714285714287,0.9232142857142858
Test STD,0.026130376119039112,0.014215788685795231,0.03174355149041283,0.04123124960363865,0.03290878123925376,0.027865154525584364
