,decision_tree,adaboost,samba,random_forest,random_scm,scm
0,0.0,0.01182245481770302,0.0,0.004439440650190246,0.07013038724004561,0.0
1,0.0,0.1708681791020877,0.0,0.034357112229500754,0.06424058139974449,0.0
2,0.0,0.16148614178792417,0.125,0.05493236083242115,0.060598697191455955,0.0
3,0.0,0.022985802289573268,0.0,0.017893933341564545,0.04519148660628342,0.5
4,0.0,0.0839596985944637,0.16666666666666666,0.06269456149820209,0.08415456181497807,0.0
5,0.0,0.01918673207184477,0.0,0.015170997956619576,0.05332733348648157,0.0
6,0.0,0.13154600766275634,0.08333333333333333,0.09594955836950071,0.06413504939011579,0.0
7,1.0,0.1065221546681043,0.2916666666666667,0.4183672892630052,0.12044665715794577,0.5
8,0.0,0.005138185971371105,0.0,0.08557332278709077,0.08394082360672023,0.0
9,0.0,0.03886323614558832,0.125,0.09157369433344877,0.07981872959031878,0.0
10,0.0,0.019031981075328643,0.0,0.002338044085821825,0.06498716423381984,0.0
11,0.0,0.005196330193266581,0.0,0.007241431870635772,0.06433873354855998,0.0
12,0.0,0.1596554198708029,0.0,0.036174671466045465,0.0941565384241353,0.0
13,0.0,0.06373767574918515,0.20833333333333334,0.07329358131595326,0.05053325630939529,0.0
