,scm-yeast_data,random_scm-yeast_data,samba-yeast_data,adaboost-yeast_data,decision_tree-yeast_data,random_forest-yeast_data
Train,0.5615453728661276,0.7079964061096137,1.0,0.7996406109613657,0.8328840970350404,0.9083557951482479
Test,0.5309973045822103,0.6657681940700808,0.7196765498652291,0.7223719676549866,0.7277628032345014,0.7493261455525606
