,random_scm-yeast_data,scm-yeast_data,adaboost-yeast_data,samba-yeast_data,random_forest-yeast_data,decision_tree-yeast_data
Train,0.6735728098358928,0.6522994559860347,0.7567042384933145,1.0,0.8758831761988246,0.8289346957509726
Test,0.6064908722109533,0.6212305611899932,0.6523664638269101,0.6574543610547667,0.6649256254225828,0.689181879648411
