,samba-hepatitis_data,scm-hepatitis_data,random_scm-hepatitis_data,random_forest-hepatitis_data,adaboost-hepatitis_data,decision_tree-hepatitis_data
Train,0.7121394230769231,0.7121394230769231,0.8058894230769231,0.9074519230769231,0.8359375,0.8173076923076923
Test,0.5436507936507937,0.5436507936507937,0.5674603174603174,0.6309523809523809,0.6349206349206349,0.7023809523809523
