,samba-hepatitis_data,random_scm-hepatitis_data,scm-hepatitis_data,adaboost-hepatitis_data,random_forest-hepatitis_data,decision_tree-hepatitis_data
Train,0.7241379310344828,0.8017241379310345,0.7241379310344828,0.8448275862068966,0.9137931034482759,0.8362068965517241
Test,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.6410256410256411,0.6410256410256411,0.717948717948718
