,scm-ionosphere_data,decision_tree-ionosphere_data,samba-ionosphere_data,random_scm-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data
Train,0.9272629988669268,0.9858051114188594,0.914264131940073,0.9444164673297243,1.0,1.0
Test,0.8571428571428572,0.8616071428571428,0.8839285714285714,0.8839285714285714,0.8973214285714286,0.9196428571428572
