,scm-ionosphere_data,decision_tree-ionosphere_data,samba-ionosphere_data,random_scm-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data
Train,0.9277566539923955,0.9847908745247148,0.9201520912547528,0.9467680608365019,1.0,1.0
Test,0.8522727272727273,0.875,0.8863636363636364,0.8863636363636364,0.9204545454545454,0.9318181818181818
