,random_scm-bupa_data,scm-bupa_data,decision_tree-bupa_data,adaboost-bupa_data,samba-bupa_data,random_forest-bupa_data
Train,0.7131782945736435,0.5813953488372093,0.9418604651162791,1.0,0.8410852713178295,1.0
Test,0.4827586206896552,0.4827586206896552,0.5517241379310345,0.5517241379310345,0.6436781609195402,0.6436781609195402
