,random_scm-bupa_data,decision_tree-bupa_data,adaboost-bupa_data,scm-bupa_data,random_forest-bupa_data,samba-bupa_data
Train,0.7196296296296296,0.9409259259259259,1.0,0.6335185185185186,1.0,0.827037037037037
Test,0.48324324324324325,0.5256756756756756,0.5291891891891892,0.5324324324324324,0.6162162162162163,0.6197297297297297
