,decision_tree,adaboost,samba,random_forest,random_scm,scm
rna_iso-ID_1482,0.09568601105100447,0.015314732971910132,0.03640246998843564,0.004251739068469281,0.02536913817994283,0.07500000000000005
rna-ID_202,0.11809666016202203,0.01159173167552252,0.04503478480539955,0.006491289937175055,0.012117935198017123,0.05300000000000004
clinic-ID_10,0.061941182267288106,0.06166276539860971,0.04326512354820874,0.04184706950989398,0.018865428892651616,0.015705128205128215
mirna-ID_221,0.09320523496461622,0.013962823035870495,0.049668859016227494,0.013582983523224927,0.021426436955766365,0.045666666666666696
mirna-ID_161,0.04896964166295716,0.019314540096240417,0.06556359585833277,0.013838212026437539,0.028182782514872794,0.03566666666666669
methyl-ID_33,0.058855437387909784,0.014094444128689999,0.029591312169972298,0.005025321218556611,0.013103642284668366,0.03666666666666669
clinic-ID_4,0.013389543619403343,0.027935945686233938,0.042380391685690307,0.02297127765385027,0.016800031300587364,0.011538461538461546
clinic-ID_0,0.008014624636763472,0.008906579975633166,0.0,0.010547269652107697,0.011836095019328674,0.09174741924741929
clinic-ID_14,0.010954057954563319,0.014702812199363337,0.057854625417678954,0.01578058268447872,0.01830111503700504,0.0033333333333333357
mirna-ID_171,0.012045464207237198,0.006580102569047129,0.018848758259284597,0.00975745812968973,0.010636624966377,0.049666666666666706
clinic-ID_17,0.009540541605072107,0.00746735129419021,0.03989760017628226,0.011651978666109402,0.013602250995775219,0.017395104895104905
rna-ID_279,0.022494190699091154,0.002978812247451185,0.028003585508832914,0.004337913397194346,0.008225462100813815,0.033333333333333354
methyl-ID_126,0.037033016467050275,0.002226481483707327,0.015147627166808769,0.004228827696196281,0.009407293592138358,0.020000000000000014
rna_iso-ID_635,0.02280399380032889,0.004429273783656455,0.025128849470312912,0.004934450443106917,0.017321589246528733,0.010000000000000007
mirna-ID_236,0.003612695629423658,0.009137483539468385,0.028707739044581175,0.010838626649619808,0.01062387982209755,0.0
clinic-ID_12,0.0178172671944124,0.011247841333350026,0.0,0.011507457017245898,0.007268213664305326,0.011538461538461546
clinic-ID_3,0.014254872429786942,0.00919052805740957,0.0,0.011930624319982389,0.013010274767371956,0.005856643356643361
clinic-ID_1,0.0055639549872297895,0.008179741441007611,0.002059233449477354,0.010371097078087123,0.0080683577566494,0.020000000000000014
clinic-ID_8,0.005825286746837537,0.007284323960329787,0.005230179361802581,0.00954329024969822,0.014817940228738988,0.004761904761904765
methyl-ID_387,0.001006703173744528,0.0014959408892718424,0.012659907441237378,0.0033666699160678397,0.008804287817032989,0.020000000000000014
clinic-ID_13,0.014403145423354942,0.00943309781484249,0.0,0.01177744521995805,0.007090423491811063,0.0015384615384615395
clinic-ID_16,0.006354844869889627,0.005899987953479711,0.003698758224904768,0.010947360267285622,0.011392422633360526,0.005856643356643361
rna_iso-ID_127,0.0034473308063503816,0.0014091281975551918,0.018046395583180892,0.002996760518209786,0.005940576896701482,0.011666666666666674
mirna-ID_91,0.0028794803031143594,0.00994347595461834,0.020792060960482035,0.00711701738121314,0.002241475807496058,0.0
rna_iso-ID_85,0.013655477661996894,0.0014921594674215054,0.005010983821959437,0.004345855885488723,0.008909829253979288,0.005000000000000004
methyl-ID_207,0.014408490126226844,0.0016775769327436818,0.013100320509964338,0.003944187191120814,0.002624799489187547,0.0
clinic-ID_11,0.0076368870977970215,0.0056225583132342586,0.003912117692605501,0.007079612816759598,0.011263639964960655,0.0
clinic-ID_15,0.006410441191864681,0.005189348963133894,0.0003448275862068969,0.007226350851667377,0.008619772294163051,0.0033333333333333357
clinic-ID_7,0.008710343540513968,0.006664077560891262,0.0,0.008391878648474325,0.007168834891296697,0.0
methyl-ID_1462,0.014059865129055197,0.0002521558482889925,0.004224316874151574,0.0032956746557556557,0.007014064198941572,0.0
rna-ID_813,0.0013597363981319804,0.0016113866560729189,0.0006602254428341392,0.00023786728079381493,0.00334792616887349,0.021333333333333346
mirna-ID_169,0.001075507616185055,0.001269016169779403,0.0016507936507936525,0.004102848667491647,0.004806849423361017,0.011666666666666674
rna-ID_94,0.0021338502481605443,0.0023394036031774653,0.011195537152058902,0.0062142837130642935,0.0023609382904316726,0.0
rna-ID_88,0.0,0.0011473582667963134,0.013429282916539302,0.0041932859222441835,0.004259175517255873,0.0
clinic-ID_6,0.001046527313629342,0.002731554852970207,0.0008571428571428581,0.0014123643161466665,0.010952355487334873,0.005856643356643361
rna_iso-ID_1958,0.0008838459871155204,8.00884057521527e-05,0.0,4.257431605434165e-05,0.002896470126748738,0.018333333333333344
rna_iso-ID_21,0.0,0.0021845346064576893,0.007194875585119494,0.004028006187460924,0.005346579540698184,0.0033333333333333357
rna_iso-ID_879,0.001496159452005478,0.0013825355252625492,0.0003278688524590167,0.00022748648683922477,0.0035633676151488975,0.01500000000000001
clinic-ID_5,0.0050928000001453175,0.0034684705388982142,0.0,0.004201729484925633,0.0071405634902669156,0.0015384615384615395
rna_iso-ID_916,0.012025395185876636,0.0001390737373758431,0.0,0.005084814759373823,0.003535179369944704,0.0
mirna-ID_8,0.0,0.005122066544796038,0.010833609275714548,0.0034838779712398115,0.0011619544321012892,0.0
methyl-ID_116,0.00018750823469041022,0.0024565540886797355,0.0029976087996174115,0.002110849106337323,0.002138454615506536,0.010666666666666673
methyl-ID_84,0.010434490045026718,0.0004973716331212284,0.0017391304347826105,0.002413427878380667,0.005402184185031804,0.0
methyl-ID_431,0.0,0.0013734463828139196,0.0033793691389599357,0.0029771646853699193,0.00242531896579025,0.010000000000000007
rna-ID_1407,0.014417679095874237,0.0013047863199937752,0.0,0.0023725831953698784,0.001795005842246656,0.0
rna_iso-ID_634,0.014246829911395571,0.0025124265306536403,0.00030303030303030336,0.002760952897342899,4.526233811253536e-05,0.0
rna_iso-ID_186,0.0011637548887265972,9.987270143404122e-05,0.0,4.490189958202371e-05,0.0017738841627069923,0.016666666666666677
rna_iso-ID_575,0.0,0.0016174637196283888,0.015312761763981294,0.002211967599563832,5.803602964516123e-05,0.0
rna-ID_74,0.00021759873820116494,0.0,0.0,2.645383059080426e-05,0.0005025870289652099,0.018000000000000013
rna-ID_55,0.0011073857013099105,0.001401316952116755,0.01219042859522621,0.00270205741582997,0.0011345335395211553,0.0
