,adaboost-pima,scm-pima,random_scm-pima,random_forest-pima,decision_tree-pima,samba-pima
Train,1.0,0.7301293532338309,0.7451144278606965,0.9659701492537314,0.7339701492537314,0.7258109452736319
Test,0.7038208955223881,0.7118208955223881,0.7224477611940299,0.7374328358208955,0.7499701492537314,0.7648955223880597
