,random_scm-pima,adaboost-pima,scm-pima,random_forest-pima,decision_tree-pima,samba-pima
Train,0.7222222222222222,1.0,0.7447916666666666,0.9722222222222222,0.7708333333333333,0.78125
Test,0.6927083333333334,0.7135416666666666,0.7239583333333333,0.7708333333333333,0.7916666666666666,0.8020833333333334
