,decision_tree-pima,adaboost-pima,scm-pima,random_forest-pima,samba-pima,random_scm-pima
Train,0.767223880597015,1.0,0.7427661691542289,0.9638407960199005,0.7798208955223881,0.7349253731343284
Test,0.6127164179104478,0.6521194029850746,0.6806567164179105,0.7001194029850746,0.7121194029850746,0.7176716417910447
