,adaboost-pima,decision_tree-pima,random_scm-pima,scm-pima,random_forest-pima,samba-pima
Train,1.0,0.8246527777777778,0.7465277777777778,0.7777777777777778,0.9739583333333334,0.8125
Test,0.6822916666666666,0.703125,0.7135416666666666,0.7239583333333334,0.7447916666666666,0.7604166666666666
