,decision_tree-ionosphere_data,samba-ionosphere_data,adaboost-ionosphere_data,scm-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.8989046959587057,1.0,0.9053883922951026,0.9349427168576105,0.9840425531914894
Test,0.8883928571428572,0.8950892857142857,0.8973214285714286,0.9107142857142857,0.9263392857142857,0.9285714285714286
