,decision_tree-ionosphere_data,samba-ionosphere_data,adaboost-ionosphere_data,scm-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.9125475285171103,1.0,0.908745247148289,0.9315589353612167,0.9885931558935361
Test,0.9090909090909091,0.9090909090909091,0.9204545454545454,0.9204545454545454,0.9318181818181818,0.9431818181818182
